NOC,Year,Bronze,Gold,Silver,Ranking,Delegation,Total,Total Ponderado,Host
USA,1896,2,11,6,1,27,19,47,0
GRE,1896,17,10,17,2,148,44,81,1
GER,1896,2,7,5,3,94,14,33,0
FRA,1896,2,5,4,4,26,11,25,0
GBR,1896,3,3,3,5,25,9,18,0
HUN,1896,3,2,1,6,18,6,11,0
AUT,1896,2,2,1,7,8,5,10,0
AUS,1896,1,2,0,8,5,3,7,0
DEN,1896,3,1,2,9,15,6,10,0
SUI,1896,0,1,2,10,8,3,7,0
FRA,1900,34,28,40,1,1071,102,198,1
USA,1900,17,21,16,2,135,54,112,0
GBR,1900,12,19,11,3,146,42,91,0
BEL,1900,5,6,7,4,100,18,37,0
SUI,1900,1,6,2,5,52,9,23,0
GER,1900,1,4,3,6,103,8,19,0
ITA,1900,0,3,2,7,36,5,13,0
AUS,1900,3,3,0,8,6,6,12,0
DEN,1900,2,2,3,9,36,7,14,0
NED,1900,4,1,2,10,73,7,11,0
HUN,1900,2,1,2,11,34,5,9,0
CUB,1900,0,1,1,12,2,2,5,0
CAN,1900,1,1,0,13,7,2,4,0
SWE,1900,1,1,0,14,27,2,4,0
ESP,1900,0,1,0,15,12,1,3,0
HAI,1900,0,1,0,16,4,1,3,0
LUX,1900,0,1,0,17,1,1,3,0
NZL,1900,0,1,0,18,1,1,3,0
AUT,1900,3,0,3,19,26,6,9,0
NOR,1900,3,0,2,20,29,5,7,0
IND,1900,0,0,2,21,5,2,4,0
BOH,1900,2,0,1,22,9,3,4,0
COL,1900,0,0,1,23,1,1,2,0
MEX,1900,1,0,0,24,3,1,1,0
USA,1904,75,76,79,1,1109,230,461,1
GER,1904,7,4,5,2,55,16,29,0
CAN,1904,1,4,1,3,61,6,15,0
CUB,1904,0,4,0,4,6,4,12,0
AUT,1904,1,2,1,5,7,4,9,0
HUN,1904,1,2,1,6,9,4,9,0
NOR,1904,0,2,0,7,6,2,6,0
GBR,1904,0,1,1,8,6,2,5,0
SUI,1904,2,1,0,9,7,3,5,0
GRE,1904,1,1,0,10,17,2,4,0
AUS,1904,1,0,3,11,6,4,7,0
FRA,1904,0,0,2,12,2,2,4,0
GBR,1908,37,56,50,1,972,143,305,1
USA,1908,12,22,12,2,219,46,102,0
SWE,1908,11,8,6,3,276,25,47,0
FRA,1908,9,5,5,4,319,19,34,0
GER,1908,5,3,5,5,148,13,24,0
HUN,1908,2,3,4,6,107,9,19,0
CAN,1908,10,3,3,7,148,16,25,0
NOR,1908,3,2,3,8,103,8,15,0
ITA,1908,0,2,2,9,97,4,10,0
BEL,1908,2,1,5,10,99,8,15,0
ANZ,1908,2,1,2,11,48,5,9,0
RUS,1908,0,1,2,12,7,3,7,0
FIN,1908,3,1,1,13,94,5,8,0
RSA,1908,0,1,1,14,33,2,5,0
GRE,1908,1,0,3,15,49,4,7,0
DEN,1908,3,0,2,16,107,5,7,0
BOH,1908,2,0,0,17,41,2,2,0
NED,1908,2,0,0,18,218,2,2,0
AUT,1908,1,0,0,19,13,1,1,0
USA,1912,19,26,18,1,364,63,133,0
SWE,1912,17,24,24,2,714,65,137,1
GBR,1912,16,10,15,3,461,41,76,0
FIN,1912,9,9,8,4,233,26,52,0
FRA,1912,3,7,5,5,232,15,34,0
GER,1912,7,6,13,6,312,26,51,0
ITA,1912,2,5,1,7,96,8,19,0
RSA,1912,0,4,2,8,56,6,16,0
NOR,1912,5,4,1,9,263,10,19,0
CAN,1912,3,3,2,10,60,8,16,0
HUN,1912,3,3,2,11,207,8,16,0
ANZ,1912,3,2,2,12,38,7,13,0
BEL,1912,3,2,1,13,72,6,11,0
DEN,1912,5,1,6,14,233,12,20,0
GRE,1912,1,1,0,15,77,2,4,0
SUI,1912,0,1,0,16,7,1,3,0
RUS,1912,3,0,2,17,266,5,7,0
AUT,1912,2,0,2,18,132,4,6,0
NED,1912,3,0,0,19,45,3,3,0
USA,1920,27,41,27,1,473,95,204,0
SWE,1920,25,19,20,2,404,64,122,0
BEL,1920,14,16,12,3,518,42,86,1
FIN,1920,9,15,10,4,136,34,74,0
GBR,1920,13,14,16,5,345,43,87,0
ITA,1920,5,14,6,6,291,25,59,0
NOR,1920,9,10,10,7,267,29,59,0
FRA,1920,13,9,20,8,452,42,80,0
NED,1920,5,4,2,9,213,11,21,0
DEN,1920,1,3,9,10,246,13,28,0
RSA,1920,3,3,4,11,97,10,20,0
CAN,1920,3,3,3,12,85,9,18,0
SUI,1920,7,2,2,13,126,11,17,0
EST,1920,0,1,2,14,20,3,7,0
BRA,1920,1,1,1,15,38,3,6,0
AUS,1920,1,0,2,16,29,3,5,0
ESP,1920,0,0,2,17,111,2,4,0
JPN,1920,0,0,2,18,26,2,4,0
GRE,1920,0,0,1,19,98,1,2,0
LUX,1920,0,0,1,20,35,1,2,0
TCH,1920,2,0,0,21,182,2,2,0
NZL,1920,1,0,0,22,6,1,1,0
USA,1924,27,45,27,1,459,99,216,0
FRA,1924,12,14,14,2,636,40,82,1
FIN,1924,10,14,13,3,253,37,78,0
GBR,1924,12,9,14,4,428,35,67,0
ITA,1924,5,8,3,5,333,16,35,0
SUI,1924,10,7,8,6,262,25,47,0
NOR,1924,3,5,2,7,105,10,22,0
SWE,1924,12,4,13,8,256,29,50,0
NED,1924,6,4,1,9,246,11,20,0
BEL,1924,3,3,7,10,234,13,26,0
AUS,1924,2,3,1,11,60,6,13,0
DEN,1924,3,2,6,12,158,11,21,0
HUN,1924,4,2,4,13,140,10,18,0
YUG,1924,0,2,0,14,116,2,6,0
TCH,1924,5,1,4,15,242,10,16,0
ARG,1924,2,1,3,16,109,6,11,0
EST,1924,4,1,1,17,47,6,9,0
RSA,1924,1,1,1,18,44,3,6,0
LUX,1924,0,1,1,19,122,2,5,0
GRE,1924,0,1,0,20,79,1,3,0
URU,1924,0,1,0,21,40,1,3,0
AUT,1924,1,0,3,22,56,4,7,0
CAN,1924,1,0,3,23,83,4,7,0
IRL,1924,1,0,1,24,60,2,3,0
POL,1924,1,0,1,25,100,2,3,0
HAI,1924,1,0,0,26,16,1,1,0
JPN,1924,1,0,0,27,37,1,1,0
MON,1924,1,0,0,28,9,1,1,0
NZL,1924,1,0,0,29,6,1,1,0
POR,1924,1,0,0,30,47,1,1,0
ROU,1924,1,0,0,31,45,1,1,0
USA,1928,16,22,18,1,426,56,118,0
GER,1928,19,11,9,2,399,39,70,0
NED,1928,5,8,10,3,384,23,49,1
FIN,1928,9,8,8,4,132,25,49,0
FRA,1928,6,7,12,5,422,25,51,0
SWE,1928,12,7,6,6,139,25,45,0
ITA,1928,7,7,6,7,273,20,40,0
SUI,1928,4,7,6,8,236,17,37,0
HUN,1928,0,5,5,9,219,10,25,0
GBR,1928,7,4,11,10,354,22,41,0
